Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR764	 - 	Kabel - Strom 230V	VerlÃ¤ngerungskabel Strom 6m	Verlängerungskabel Strom 6m	0.5	1.00	1.5	VerlÃ¤ngerungskabel Strom 6m	Verlängerungskabel Strom 6m	NULL	 - 	 - 	 - 	 - 	42	42	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR765	 - 	Kabel - Strom 230V	VerlÃ¤ngerungskabel Strom 10m	Verlängerungskabel Strom 10m	0.5	1	1.50	VerlÃ¤ngerungskabel Strom 10m	Verlängerungskabel Strom 10m	NULL	 - 	 - 	 - 	 - 	28	28	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR786	 - 	Kabel - Strom 230V	Power Pro Input Connector an Schuko 1,5m	Power Pro Input Connector an Schuko 1,5m	 - 	 - 	 - 	Power Pro Input Connector an Schuko 1,5m	Power Pro Input Connector an Schuko 1,5m	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR813	 - 	Kabel - Strom 230V	Power Pro Input Connector an Schuko	Power Pro Input Connector an Schuko	 - 	 - 	 - 	Power Pro Input Connector an Schuko	Power Pro Input Connector an Schuko	NULL	 - 	7.50	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR847	 - 	Kabel - Strom 230V	Schukokabel 15m	3x 1,5mm2, Leitungstype H07RN-F zum Einsatz in trockenen, feuchten und nassen Räumen, im Freien, im Nutzwasser, max. 3000 V	 - 	 - 	 - 	Schukokabel 15m	3x 1,5mm2, Leitungstype H07RN-F zum Einsatz in trockenen, feuchten und nassen Räumen, im Freien, im Nutzwasser, max. 3000 V	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR728	 - 	Kabel - Video	SDI Leitung 50,0m auf Trommel	SDI Leitung 50,0m auf Trommel	 - 	 - 	 - 	SDI Leitung 50,0m auf Trommel	SDI Leitung 50,0m auf Trommel	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR750	 - 	Kabel - Video	HDMI Kabel Purelink FiberX 30,0m	HDMI Kabel Purelink FiberX 30,0m	 - 	10	 - 	HDMI Kabel Purelink FiberX 30,0m	HDMI Kabel Purelink FiberX 30,0m	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR815	 - 	Kabel - Video	HDMI auf HDMI 10m	HDMI auf HDMI 10m	 - 	1.50	 - 	HDMI auf HDMI 10m	HDMI auf HDMI 10m	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR816	 - 	Kabel - Video	HDMI Kabel 6m	HDMI Leitung, geschirmt, SteckerStecker, 6m	 - 	1.50	 - 	HDMI Kabel 6m	HDMI Leitung, geschirmt, SteckerStecker, 2m 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR848	 - 	Kabel - Video	Glasfaserleitung SC/SC, 2xDuplex, 60m	Glasfaserleitung SC/SC, 2xDuplex, 60m	 - 	 - 	 - 	Glasfaserleitung SC/SC, 2xDuplex, 60m	Glasfaserleitung SC/SC, 2xDuplex, 60m	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR941	 - 	Kabel - Video	3G-SDI Leitung 50m	3G-SDI Leitung 50m	0.0	20	0.0	3G-SDI Leitung 50m	3G-SDI Leitung 50m	NULL	0.0	0.0	0.0	 - 	4	0	4	0	0	0.0	 - 	0.0	0.0	0.0	0.000	0
AR942	 - 	Kabel - Video	SDI Leitung 35,0m	SDI Leitung 35,0m	0.0	15	0.0	SDI Leitung 35,0m	SDI Leitung 35,0m	NULL	0.0	0.0	0.0	 - 	2	0	2	0	0	0.0	 - 	0.0	0.0	0.0	0.000	0
AR943	 - 	Kabel - Video	HDMI Kabel Stecker > Stecker 5,0m	HDMI Kabel Stecker > Stecker 5,0m	0.0	2.5	0.0	HDMI Kabel Stecker > Stecker 5,0m	HDMI Kabel Stecker > Stecker 5,0m	NULL	0.0	0.0	0.0	 - 	10	0	10	0	0	0.0	 - 	0.0	0.0	0.0	0.000	0
AR944	 - 	Kabel - Video	HDMI Kabel Stecker > Stecker 10m	HDMI Kabel Stecker > Stecker 10m	0.0	2.5	0.0	HDMI Kabel Stecker > Stecker 10m	HDMI Kabel Stecker > Stecker 10m	NULL	0.0	0.0	0.0	 - 	5	0	5	0	0	0.0	 - 	0.0	0.0	0.0	0.000	0
AR963	 - 	Kabel - Video	Fairlight - Armored HDMI 2.1 AOC cable, 100m	Fairlight - Armored HDMI 2.1 AOC cable, 100m	0.0	40	0.0	Fairlight - Armored HDMI 2.1 AOC cable, 100m	Fairlight - Armored HDMI 2.1 AOC cable, 100m	NULL	0.0	345	0.0	 - 	2	0	2	0	0	248.50	 - 	0.0	0.0	100	0.000	0
AR82	 - 	Kabel Digital	CAT5 Netzwerkkabel1,5m	CAT5 Netzwerkkabel1,5mgeschirmt  HiroseKabelRC5 - 4x2x0.15mm AWG2619 100 Ohm, PUR Auenmantel, 6,1mm 	0.5	0.5	0.5	CAT5 Netzwerkkabel1,5m	CAT5 Netzwerkkabel1,5m	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	300	300	300	5.000	0
AR365	 - 	Kabel Digital	CAT 5E auf Trommel  75m	CAT 5E auf Trommel  75m	15	17.5	20	CAT 5E auf Trommel  75m	CAT 5E auf Trommel  75m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR642	 - 	Kabel Digital	STP-Leitung CAT7,Hirose RJ45, 75,0m	STP-Leitung CAT7,Hirose RJ45, 75,0m	 - 	 - 	 - 	STP-Leitung CAT7,Hirose RJ45, 75,0m	STP-Leitung CAT7,Hirose RJ45, 75,0m	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR643	 - 	Kabel Digital	STP-Leitung CAT7,Hirose RJ45, 3,0m	STP-Leitung CAT7,Hirose RJ45, 3,0m	 - 	 - 	 - 	STP-Leitung CAT7,Hirose RJ45, 3,0m	STP-Leitung CAT7,Hirose RJ45, 3,0m	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR898	 - 	Kabel Digital	Sennheiser BNC Antennenkabel	Sennheiser BNC Antennenkabel dämpfungsarm, 10m	0.0	0.0	0.0	Sennheiser BNC Antennenkabel	Sennheiser BNC Antennenkabel dämpfungsarm, 10m	NULL	0.0	0.0	0.0	 - 	2	0	2	0	0	0.0	 - 	0.0	0.0	0.0	0.000	0
AR909	 - 	Kabel Digital	Glasfaserleitung Optocore 150m	Glasfaserleitung Optocore 150m	0.0	120	0.0	Glasfaserleitung Optocore 150m	Glasfaserleitung Optocore 150m	NULL	0.0	0.0	0.0	96	1	0	1	0	0	0.0	96	0.0	0.0	0.0	0.000	0
AR990	 - 	Kabel Digital	USB A-B cable 1.5m long  	USB A-B cable 1.5m long  	0.0	0.5	0.0	USB A-B cable 1.5m long  	USB A-B cable 1.5m long  	NULL	0.0	0.0	0.0	 - 	2	0	2	0	0	0.0	 - 	0.0	0.0	150	0.000	0
AR992	 - 	Kabel Digital	Midikabel 6m	Midikabel 6m	0.0	0.5	0.0	Midikabel 6m	Midikabel 6m	NULL	0.0	0.0	0.0	 - 	2	0	2	0	0	0.0	 - 	0.0	0.0	600	0.000	0
AR435	 - 	Kabel Instrumental	Kl.6,3m-Kl.6,3m Mono 6m (Instrumental)	Kl.6,3m-Kl.6,3m Mono(Instrumental)	 - 	1.5	 - 	Kl.6,3m-Kl.6,3m Mono(Instrumental)	Kl.6,3m-Kl.6,3m Mono(Instrumental)	NULL	 - 	 - 	 - 	 - 	70	70	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR436	 - 	Kabel Instrumental	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	 - 	1.5	 - 	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	NULL	 - 	 - 	 - 	 - 	36	36	0	0	0	 - 	 - 	 - 	 - 	10	0.100	0
AR762	 - 	Kabel Instrumental	Sennheiser CI 1-N Instrumentenkabel fÃ¼r Taschensen	Sennheiser CI 1-N Instrumentenkabel für Taschensender SK, Miniklinke auf 6,3mm Monoklinke	 - 	 - 	 - 	Sennheiser CI 1-N Instrumentenkabel fÃ¼r Taschensen	Sennheiser CI 1-N Instrumentenkabel für Taschensender SK, Miniklinke auf 6,3mm Monoklinke	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR111	 - 	Kabel Set	Verkabelung Ton/Strom n.B.	Verkabelung Ton XLR, Lautsprecher KAbel usw.	 - 	120	 - 	Verkabelung Ton n.B.	Verkabelung Ton XLR, Lautsprecher KAbel usw.	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	0.0	 - 	 - 	 - 	 - 	0.000	0
AR281	Kabelset Strom/ Sound	Kabel Set	Kabelset Strom/ Light/ Video	Kabelset Strom/ Sound	 - 	 - 	 - 	Kabelset	Kabelset Strom/ Sound	NULL	 - 	50	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR407	 - 	Kabel Set	Verkabelung Strom/ Licht/ Sound	Starkstrom Distributer, Komplette Verkabelung für Soundanlagen, Komplette Verkabelung Licht	 - 	150	 - 	Verkabelung Strom/ Licht/ Sound	Starkstrom Distributer, Komplette Verkabelung für Soundanlagen, Komplette Verkabelung Licht	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR70	 - 	Kabel Starkstrom	CEE 5P 125A 10 Stromkabel 10m	CEE 5P 125A 10 Stromkabel 10m	5	5	5	CEE 5P 125A 10 Stromkabel 10m	CEE 5P 125A 10 Stromkabel 10m	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR71	 - 	Kabel Starkstrom	CEE 5P 16A 10 Stromkabel 10m	CEE 5P 16A 10 Stromkabel 10m	5	5	5	CEE 5P 16A 10 Stromkabel 10m	CEE 5P 16A 10 Stromkabel 10m	NULL	 - 	 - 	 - 	 - 	8	6	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR72	 - 	Kabel Starkstrom	CEE 5P 16A  Stromkabel 25m	CEE 5P 16A Stromkabel 25m	10	10	15	CEE 5P 16A 25 Stromkabel 25m	CEE 5P 16A 25 Stromkabel 25m	NULL	 - 	 - 	 - 	 - 	8	4	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR73	 - 	Kabel Starkstrom	CEE 5P 32A 25 Stromkabel 25m	CEE 5P 32A 25 Stromkabel 25m	15	15	20	CEE 5P 32A 25 Stromkabel 25m	CEE 5P 32A 25 Stromkabel 25m	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR520	 - 	Kabel Starkstrom	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	5.5	7.5	10	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	NULL	 - 	 - 	 - 	 - 	51	51	0	0	0	 - 	 - 	 - 	 - 	 - 	3.500	0
AR670	 - 	Kabel Starkstrom	Extension Cable, 3 x 63 A/380 V 5 x 10 mmÂ² 10m	Extension Cable, 3 x 63 A/380 V 5 x 10 mm² 10m	15	15	20	Extension Cable, 3 x 63 A/380 V 5 x 10 mmÂ²	Extension Cable, 3 x 63 A/380 V 5 x 10 mm²	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR671	 - 	Kabel Starkstrom	Extension Cable, 3 x 63 A/380 V 5 x 10 mmÂ² 25m	Extension Cable, 3 x 63 A/380 V 5 x 10 mm² 25m	20	25	35	Extension Cable, 3 x 63 A/380 V 5 x 10 mmÂ²	Extension Cable, 3 x 63 A/380 V 5 x 10 mm²	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR777	 - 	Kabel Starkstrom	CEE 5P 32A 25 Stromkabel 10m	CEE 5P 32A 25 Stromkabel 10m	2	3	5	CEE 5P 32A 25 Stromkabel 10m	CEE 5P 32A 25 Stromkabel 10m	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR173	 - 	Keys	Korg triton Extreem 	Korg triton Extreem 	 - 	50.00	65	Korg triton Extreem 	Korg triton Extreem 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	177	359	1108	14.400	0
AR268	 - 	Keys	yamaha motif xf7	1.Yamaha motif xf7 2. Sustain Pedal 3. Stromkabel	 - 	100	 - 	yamaha motif xf6	yamaha motif xf6	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR384	 - 	Keys	Yamaha Motive  XS7	Model  MOTIF XS7 Tone Generator  AWM2 Keyboards  76 keys  	120	130	150	Yamaha Motive oder Nord Stage Piano	Yamaha Motive 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	122	391	1252	17.000	0
AR524	 - 	Keys	Clavia NORD STAGE 3 76	76-Note Hammer Action gewichtete Tastatur     Bereich: E-G     Aftertouch     Unterstützt 3 Split-Zonen mit visuellen LED-Anzeige   	120	130	150	Yamaha Motive oder Nord Stage Piano	Yamaha Motive 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	122	334	1297	18.500	0
AR612	 - 	Keys	Clavia Nord Stage 3 HA88	Clavia Nord Stage 3 HA88, mit 88 HA Tasten incl. Netzstecker & Sustain Pedal	 - 	200	 - 	Clavia Nord Stage 3 HA88	Clavia Nord Stage 3 HA88, mit 88 HA Tasten incl. Netzstecker & Sustain Pedal	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	120	 - 	 - 	 - 	 - 	0.000	0
AR613	 - 	Keys	Extra Sustain Pedal	Extra Sustain Pedal	 - 	1.5	 - 	Extra Sustain Pedal	Extra Sustain Pedal	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	0.8	 - 	 - 	 - 	 - 	0.000	0
AR614	 - 	Keys	Roland EV-5 Expression Pedal	Roland EV-5 Expression Pedal	 - 	2	 - 	Roland EV-5 Expression Pedal	Roland EV-5 Expression Pedal	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	1.2	 - 	 - 	 - 	 - 	0.000	0
AR623	 - 	Keys	Yamaha Motiv XF6	Yamaha Motiv XF6	 - 	80.00	 - 	Yamaha Motiv XF6	Yamaha Motiv XF6	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR628	 - 	Keys	ROLAND Rd-800 Stage Klavier  inkl. Case	ROLAND Rd-800 Stage Klavier 	 - 	150	 - 	ROLAND Rd-800 Stage Klavier  inkl. Case	ROLAND Rd-800 Stage Klavier 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	128	 - 	138	367	1400	35.000	0
AR928	 - 	Keys	Midikey CME UF60 61Tasten	Midikey CME UF60 61Tasten 9 Fader 8 Drehregler 6 Funktionstaster Pitchbend- und Modulationsrad 2 Pedal-Anschlüsse 1 Breath-Controller-Anschluss (BC3) 1 großes Endlos-Datenrad 13 Funktionstaster 6 Sequenzer-Transporttaster 45 „Shortcut“-Klaviaturtasten 1 MIDI-Ausgang 1/4“-Klinkenbuchsen für 2 Pedale (Sustain, Expression) 1/8“-Klinkenbuchse für Breath Controller BC3 1 USB-Port Expansion-Slot für optionale Soundmodule oder FireWire-Audio-Interface 	0.0	40	0.0	Midikey CME UF60 61Tasten	Midikey CME UF60 61Tasten 9 Fader 8 Drehregler 6 Funktionstaster Pitchbend- und Modulationsrad 2 Pedal-Anschlüsse 1 Breath-Controller-Anschluss (BC3) 1 großes Endlos-Datenrad 13 Funktionstaster 6 Sequenzer-Transporttaster 45 „Shortcut“-Klaviaturtasten 1 MIDI-Ausgang 1/4“-Klinkenbuchsen für 2 Pedale (Sustain, Expression) 1/8“-Klinkenbuchse für Breath Controller BC3 1 USB-Port Expansion-Slot für optionale Soundmodule oder FireWire-Audio-Interface 	NULL	0.0	0.0	0.0	 - 	1	0	1	0	0	0.0	 - 	113	348	1022	9.800	0
AR919	 - 	Komplett Set	Audiotechnik/ Konferenztechnik Paket 1	Funkmikros - 4 St. Steuereinheit - Mischpult Digital Lautsprecher/ P.A. Anlage  2x Subwoofer, 2 Topteile Verkabelung Strom und Sound Anlieferung/ Aufbau/ Betreuung/ Abbau	0.0	800	0.0	Audiotechnik/ Konferenztechnik Paket 1	Funkmikros - 4 St. Steuereinheit - Mischpult Digital Lautsprecher/ P.A. Anlage  2x Subwoofer, 2 Topteile Verkabelung Strom und Sound Anlieferung/ Aufbau/ Betreuung/ Abbau	NULL	0.0	0.0	0.0	 - 	1	0	1	0	0	0.0	 - 	0.0	0.0	0.0	0.000	0
AR927	 - 	Komplett Set	Konferenzpaket Video	Led Wand 4x2,5m P3 inkl. Steuerung	0.0	2000	0.0	Konferenzpaket Video	Led Wand 4x2,5m P3 inkl. Steuerung	NULL	0.0	0.0	0.0	 - 	1	0	1	0	0	0.0	 - 	0.0	0.0	0.0	420.000	0
AR56	 - 	Kraftfahrzeuge (PKW, LKW usw.)	7,5 to. LKW - Transport	LKW 7,5 Tonnen für Transportwege inkl. Fahrer 	300	350	400	7,5 to. LKW - Transport	LKW 7,5 Tonnen für Transportwege inkl. Fahrer 	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR57	 - 	Kraftfahrzeuge (PKW, LKW usw.)	Transport HinRÃ¼ck mit LKW 3,5t, pauschal	 - 	250	300	350	Transport HinRÃ¼ck mit LKW 3,5t, pauschal	 - 	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR413	Fahrtkosten	Kraftfahrzeuge (PKW, LKW usw.)	Fahrtkosten	53227 Bonn Landgrabenweg 15	131.6	174.6	131.6	Fahrtkosten	53227 Bonn Landgrabenweg 15	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	131.6	 - 	 - 	 - 	 - 	0.000	0
AR535	 - 	Laser Lichttechnik	Laserworld DS-1000 RGB MK2 Laser	RGB Weilicht-LasersystemILDA, Shownet, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	50	60	70	Laserworld DS-1000 RGB MK2 Laser B-Stock	RGB Weilicht-LasersystemILDA, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	NULL	 - 	705	 - 	 - 	2	2	0	0	0	0.0	 - 	 - 	 - 	 - 	0.000	0
AR536	 - 	Laser Lichttechnik	Laserworld DS-2000 RGB MK2 Laser	RGB Weilicht-LasersystemILDA, Shownet, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	60	70	80	Laserworld DS-2000 RGB MK2 Laser	RGB Weilicht-LasersystemILDA, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR21	 - 	Lautsprecher - aktiv	DB technologies Vio S118	Frequency Response [- 6 dB] 36 Hz to Cut Freq (X-Over Dependent) Frequency Response [- 10 dB]33 Hz (HPF) Max SPL139 dB LF1x18", Neodymium Voice Coil LF4 " Directivity Omnidirectional Verstärker RMS Power 1600 W Peak Power 3200 W 	70	90	100	DB technologies Vio S118	Frequency Response [- 6 dB] 36 Hz to Cut Freq (X-Over Dependent) Frequency Response [- 10 dB] 33 Hz (HPF) Max SPL 139 dB LF 1x18", Neodymium Voice Coil LF 4 " Directivity Omnidirectional Verstärker Amp Technology Digipro® G4 Amp Class Class D RMS Power 1600 W Peak Power 3200 W Cooling Convection Power Supply 1600 W with PFC	NULL	3900.00	4000.00	4075.00	 - 	20	20	0	0	20	2199	 - 	520	720	695	45.100	0
AR98	 - 	Lautsprecher - aktiv	Turbosound iNSPIRE iP2000 	Frequenzbereich  45Hz-20kHz (±3dB) Leistung  1000W (Peak)	70	80	100	Turbosound iNSPIRE iP2000 	Frequenzbereich  45Hz-20kHz (±3dB) Leistung  1000W (Peak)	Turbosound	750	799	899	 - 	6	6	0	0	0	 - 	 - 	2063	420	500	30.900	0
AR125	 - 	Lautsprecher - aktiv	 Multifunktionslautsprecher Akkubetrieb 	12 Multifunktions-Lautsprecher mit einer auergewöhnlichen Dynamik und Reichweite. 400 Watt	20	30	40	 Multifunktionslautsprecher Akkubetrieb 	12 Multifunktions-Lautsprecher mit einer auergewöhnlichen Dynamik und Reichweite. 400 Watt	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	585	380	330	21.000	0
AR162	 - 	Lautsprecher - aktiv	db technologies LVX 12 G-Ware	 db technologies LVX 12 Fullrange Lautsprecher Aktive 12"/1"-Multifunktionsbox 800W PRG DSP 127dB max SPL Class-D digipro Amp 90°x40° CD Horn	35	40	45	db technologies LVX 12	 db technologies LVX 12 Fullrange Lautsprecher	Db Technologies	 - 	629	 - 	 - 	2	2	0	0	0	 - 	 - 	610	360	360	17.000	800
AR280	 - 	Lautsprecher - aktiv	Lautsprecher Aktiv DB LVX oder Ã¤hnliches***	Lautsprecher Aktiv DB LVX oder ähnliches	 - 	45	 - 	Lautsprecher Aktiv DB LVX oder Ã¤hnliches	Lautsprecher Aktiv DB LVX oder ähnliches	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR368	 - 	Lautsprecher - aktiv	DB Technologies SUB615 G-Ware	DB Technologies SUB615 Typ: Aktiver Subwoofer Frequenzbereich: 42-124 Hz (-10dB) Max SPL: 131 dB Tieftöner: 15“ mit 2,5“ Schwingspule Leistung: 600 W RMS, 1200W/Peak	 - 	50.00	 - 	DB Technologies SUB615	DB Technologies SUB615	Db Technologies	 - 	528	 - 	 - 	1	1	0	0	0	 - 	 - 	580	430	600	31.000	0
AR408	 - 	Lautsprecher - aktiv	DB Technologies Vio 10 Aktiv LS	DB Technologies Vio 10 Aktiv LS Frequenzbereich [-10dB]: 73 - 21.400 Hz Frequenzbereich [-6dB]: 82 - 20.000 Hz Maximaler Schalldruck: 130 dB HF: 1x 1" v.c. 1.75". LF: 1x 10", v.c. 2,5" Neodym Abstrahlwinkel: 90° x 40°. Hupe: Drehbares CD-Horn Verstärker: 900 W RMS Klasse-D Digipro® G3	35	45	55	DB Technologies Vio 10 Aktiv LS	DB Technologies Vio 10 Aktiv LS	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	550	280	355	16.000	0
AR449	 - 	Lautsprecher - aktiv	dB Technologies es1203	dB Technologies es1203 inkl. Distanzstange und Verkabelung 2x12"/8x4" VC1" Aktivsystem Class-D Verstärker 3-Kanal Mixer Leistung: 2400 W Peak Frequenzbereich: 35 - 20.000 Hz Maximalpegel: 132 dB Abstrahlwinkel: 97 x 60° 1 Mic/Instrumenten-Kombieingang (XLR/Klinke) 2 Mic/Line-Kombieingänge (XLR/Klinke) Empfang von Bluetooth 1 XLR-Ausgang	80	90	100	dB Technologies es1203	dB Technologies es1203 2x12"/8x4" VC1" Aktivsystem Class-D Verstärker 3-Kanal Mixer Leistung: 2400 W Peak Frequenzbereich: 35 - 20.000 Hz Maximalpegel: 132 dB Abstrahlwinkel: 97 x 60° 1 Mic/Instrumenten-Kombieingang (XLR/Klinke) 2 Mic/Line-Kombieingänge (XLR/Klinke) Empfang von Bluetooth 1 XLR-Ausgang	NULL	1218.49	1300	1350	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	32.600	0
AR456	 - 	Lautsprecher - aktiv	DB Technologies DVA K5	Akustische Daten Frequency Response [+/- 3dB] 70 - 19,000 Hz Max SPL One Unit: 129 dB RMS Power 500 W Peak Power 1000 W 	40	50	60	DB Technologies DVA K5	DB Technologies DVA K5 Akustische Daten Frequency Response [+/- 3dB] 70 - 19,000 Hz Max SPL One Unit: 129 dB HF 2x1 " Voice Coil HF 1.4 " MF 1x 6.5 " Type MF Neodymium Voice Coil MF 2 " LF 1x8 " Voice Coil LF 2.5 " Type LF Neodymium Directivity (HxV) 100x15° Single unit Verstärker Amp Technology Digipro® G3 Amp Class Class D RMS Power 500 W Peak Power 1000 W 	NULL	 - 	 - 	 - 	 - 	18	18	0	0	0	0.0	 - 	240	580	327	14.200	0
AR457	 - 	Lautsprecher - aktiv	EAW RS 115	Frequency Response 40 Hz -125 kHz Max SPL EAW RS 115 132dB (peak, half space) Subsystem  15in Cone, 3 in Voice Coil, Vented Nominal Beamwidth Horizontal 360° Vertical 360° Power Handling  1500W Connections    	40	50	60	EAW RS 115	Frequency Response 40 Hz -125 kHz Max SPL EAW RS 115 132dB (peak, half space) Subsystem  15in Cone, 3 in Voice Coil, Vented Nominal Beamwidth Horizontal 360° Vertical 360° Power Handling  1500W Connections    	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	450	630	599	32.000	0
AR462	 - 	Lautsprecher - aktiv	EAW 118RS	EAW 118RS	50	55	65	EAW 118RS	EAW 118RS	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	1450	 - 	521	762	681	40.000	0
AR504	 - 	Lautsprecher - aktiv	EAW RS123 â€“ 2 Way Active Speaker	EAW RS123 – 2 Way Active Speaker55 Hz – 20 kHz Max SPL: 138dB Operating Mode: Bi-Amp LF, HF  	35	45	55	EAW RS123 â€“ 2 Way Active Speaker	EAW RS123 – 2 Way Active Speaker55 Hz – 20 kHz Max SPL: 138dB Operating Mode: Bi-Amp LF, HF Subsystem:  12 in Cone, 2.5 in Voice Coil 3 in Voice Coil Neodymium Compression Driver, 1.4 in Exit Nominal Beamwidth:  90° Horizontal 60° Vertical Power Handling:  1500W Connections:  Neutrik PowerCON® XLR Input/Loop	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	650	360	380	19.000	0
